I0426 13:04:00.449563       1 options.go:222] external host was not specified, using 172.16.0.82
I0426 13:04:00.451081       1 server.go:148] Version: v1.29.4
I0426 13:04:00.451177       1 server.go:150] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
I0426 13:04:01.000891       1 plugins.go:157] Loaded 12 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,NodeRestriction,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,MutatingAdmissionWebhook.
I0426 13:04:01.000964       1 plugins.go:160] Loaded 13 validating admission controller(s) successfully in the following order: LimitRanger,ServiceAccount,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,ClusterTrustBundleAttest,CertificateSubjectRestriction,ValidatingAdmissionPolicy,ValidatingAdmissionWebhook,ResourceQuota.
I0426 13:04:01.001568       1 shared_informer.go:311] Waiting for caches to sync for node_authorizer
I0426 13:04:01.002725       1 instance.go:297] Using reconciler: lease
I0426 13:04:02.441232       1 handler.go:275] Adding GroupVersion apiextensions.k8s.io v1 to ResourceManager
W0426 13:04:02.441253       1 genericapiserver.go:742] Skipping API apiextensions.k8s.io/v1beta1 because it has no resources.
I0426 13:04:02.612796       1 handler.go:275] Adding GroupVersion  v1 to ResourceManager
I0426 13:04:02.613063       1 instance.go:693] API group "internal.apiserver.k8s.io" is not enabled, skipping.
I0426 13:04:02.900147       1 instance.go:693] API group "resource.k8s.io" is not enabled, skipping.
I0426 13:04:02.929776       1 handler.go:275] Adding GroupVersion authentication.k8s.io v1 to ResourceManager
W0426 13:04:02.929858       1 genericapiserver.go:742] Skipping API authentication.k8s.io/v1beta1 because it has no resources.
W0426 13:04:02.929885       1 genericapiserver.go:742] Skipping API authentication.k8s.io/v1alpha1 because it has no resources.
I0426 13:04:02.930372       1 handler.go:275] Adding GroupVersion authorization.k8s.io v1 to ResourceManager
W0426 13:04:02.930422       1 genericapiserver.go:742] Skipping API authorization.k8s.io/v1beta1 because it has no resources.
I0426 13:04:02.931111       1 handler.go:275] Adding GroupVersion autoscaling v2 to ResourceManager
I0426 13:04:02.931817       1 handler.go:275] Adding GroupVersion autoscaling v1 to ResourceManager
W0426 13:04:02.931869       1 genericapiserver.go:742] Skipping API autoscaling/v2beta1 because it has no resources.
W0426 13:04:02.931900       1 genericapiserver.go:742] Skipping API autoscaling/v2beta2 because it has no resources.
I0426 13:04:02.933031       1 handler.go:275] Adding GroupVersion batch v1 to ResourceManager
W0426 13:04:02.933083       1 genericapiserver.go:742] Skipping API batch/v1beta1 because it has no resources.
I0426 13:04:02.933788       1 handler.go:275] Adding GroupVersion certificates.k8s.io v1 to ResourceManager
W0426 13:04:02.933838       1 genericapiserver.go:742] Skipping API certificates.k8s.io/v1beta1 because it has no resources.
W0426 13:04:02.933864       1 genericapiserver.go:742] Skipping API certificates.k8s.io/v1alpha1 because it has no resources.
I0426 13:04:02.934397       1 handler.go:275] Adding GroupVersion coordination.k8s.io v1 to ResourceManager
W0426 13:04:02.934445       1 genericapiserver.go:742] Skipping API coordination.k8s.io/v1beta1 because it has no resources.
W0426 13:04:02.934582       1 genericapiserver.go:742] Skipping API discovery.k8s.io/v1beta1 because it has no resources.
I0426 13:04:02.935109       1 handler.go:275] Adding GroupVersion discovery.k8s.io v1 to ResourceManager
I0426 13:04:02.936395       1 handler.go:275] Adding GroupVersion networking.k8s.io v1 to ResourceManager
W0426 13:04:02.936450       1 genericapiserver.go:742] Skipping API networking.k8s.io/v1beta1 because it has no resources.
W0426 13:04:02.936476       1 genericapiserver.go:742] Skipping API networking.k8s.io/v1alpha1 because it has no resources.
I0426 13:04:02.936871       1 handler.go:275] Adding GroupVersion node.k8s.io v1 to ResourceManager
W0426 13:04:02.936916       1 genericapiserver.go:742] Skipping API node.k8s.io/v1beta1 because it has no resources.
W0426 13:04:02.936941       1 genericapiserver.go:742] Skipping API node.k8s.io/v1alpha1 because it has no resources.
I0426 13:04:02.937600       1 handler.go:275] Adding GroupVersion policy v1 to ResourceManager
W0426 13:04:02.937649       1 genericapiserver.go:742] Skipping API policy/v1beta1 because it has no resources.
I0426 13:04:02.938994       1 handler.go:275] Adding GroupVersion rbac.authorization.k8s.io v1 to ResourceManager
W0426 13:04:02.939052       1 genericapiserver.go:742] Skipping API rbac.authorization.k8s.io/v1beta1 because it has no resources.
W0426 13:04:02.939085       1 genericapiserver.go:742] Skipping API rbac.authorization.k8s.io/v1alpha1 because it has no resources.
I0426 13:04:02.939487       1 handler.go:275] Adding GroupVersion scheduling.k8s.io v1 to ResourceManager
W0426 13:04:02.939532       1 genericapiserver.go:742] Skipping API scheduling.k8s.io/v1beta1 because it has no resources.
